,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
23,-3.062,0.122,1.8619999999999999,-1.577,-1.0170000000000001,0.244,0.0,-0.946,-1.3530000000000002,-3.3369999999999997,-4.191,-0.244,-0.59,-2.533,0.682,-13.367,-1.272,-1.3530000000000002,-1.2,-4.283,-0.488,0.9259999999999999,-0.875,-1.6280000000000001,-1.75,-2.411,1.933,0.061,-2.299,0.132,4.842,1.963,-4.5169999999999995,-2.136,-6.694,-2.696,2.991,-1.933,-1.6280000000000001,-1.2209999999999999,-0.621,-2.258,-1.75,-2.055,-0.59,-1.74,-0.153,0.031,-1.526,-1.475,1.455,-0.5589999999999999,-0.264,0.45799999999999996,2.6860000000000004,-0.295,0.01,0.22399999999999998,-2.289,0.092,-0.397,0.59,0.315,0.102
24,-5.015,-1.3430000000000002,2.838,-4.018,-1.994,-1.2209999999999999,-0.488,-2.411,-2.33,-4.801,-5.656000000000001,-0.732,-1.078,-3.998,-0.7829999999999999,-12.878,-2.248,-1.3530000000000002,-1.689,-4.771,-0.488,1.4140000000000001,-1.3630000000000002,-2.116,-2.238,-3.387,2.421,-0.9159999999999999,-3.2760000000000002,-1.821,3.866,2.452,-6.47,-3.113,-7.67,-4.649,2.0140000000000002,-2.421,-3.092,-1.709,-1.109,-2.747,-2.238,-3.031,-1.078,-2.228,-0.6409999999999999,-0.946,-2.0140000000000002,-1.475,1.455,-1.536,-0.264,0.45799999999999996,3.174,-1.272,-0.478,-0.264,-2.7769999999999997,-0.397,-0.885,0.59,-0.17300000000000001,0.102
25,-5.502999999999999,-1.831,2.838,-4.506,-2.4819999999999998,-1.709,-0.977,-2.411,-2.33,-5.29,-6.632000000000001,-0.732,-1.078,-4.974,-2.736,-11.414000000000001,-2.736,-0.865,-2.177,-3.306,-0.977,1.902,-2.34,-2.6039999999999996,-3.215,-3.8760000000000003,1.933,-1.892,-4.74,-3.7739999999999996,1.912,2.94,-8.423,-4.0889999999999995,-7.182,-5.1370000000000005,2.0140000000000002,-3.398,-4.069,-1.2209999999999999,-1.597,-2.747,-2.7260000000000004,-4.008,-1.567,-2.716,-0.6409999999999999,-1.4340000000000002,-2.991,-0.01,0.966,-1.536,-0.753,0.946,2.6860000000000004,-2.248,-0.478,-1.729,-4.242,-0.885,-1.8619999999999999,0.102,0.315,0.102
26,-5.015,-1.831,1.8619999999999999,-3.53,-2.97,-1.709,-1.465,-1.4340000000000002,-1.841,-3.825,-6.632000000000001,0.244,-1.078,-4.974,-3.225,-10.925,-3.225,0.6,-1.689,-2.33,-1.465,1.902,-2.34,-2.116,-3.7030000000000003,-3.8760000000000003,2.421,-2.8689999999999998,-5.229,-4.262,0.44799999999999995,3.428,-9.399,-4.0889999999999995,-5.7170000000000005,-3.6719999999999997,2.991,-2.909,-4.069,-0.244,-1.109,-1.77,-2.238,-3.52,-1.567,-2.716,0.336,-1.4340000000000002,-2.991,0.966,0.478,-0.5589999999999999,-1.2409999999999999,1.4340000000000002,1.709,-1.76,-0.478,-2.7060000000000004,-4.73,-0.885,-2.35,0.102,0.804,1.078
27,-3.062,-1.3430000000000002,0.885,-2.065,-1.994,-0.244,-0.977,0.031,-1.3530000000000002,-2.36,-5.656000000000001,0.732,-1.078,-3.51,-1.272,-10.437000000000001,-2.736,1.088,-0.7120000000000001,-1.3530000000000002,-0.977,2.391,-2.8280000000000003,-1.139,-3.7030000000000003,-2.411,2.421,-3.3569999999999998,-5.7170000000000005,-3.286,0.44799999999999995,3.9160000000000004,-8.911,-3.6010000000000004,-4.74,-2.207,4.944,-1.933,-3.092,1.2209999999999999,-0.621,-0.305,-0.773,-3.031,-1.078,-1.74,1.3119999999999998,-0.45799999999999996,-2.0140000000000002,1.943,0.966,0.41700000000000004,-1.2409999999999999,1.4340000000000002,1.2209999999999999,-0.7829999999999999,-0.478,-3.194,-4.73,-0.885,-2.838,0.102,2.2680000000000002,2.543
28,-1.109,-0.366,1.8619999999999999,-0.6,-1.506,0.244,-0.488,1.0070000000000001,-0.865,-0.895,-4.191,1.2209999999999999,-1.078,-1.068,0.682,-10.437000000000001,-1.272,1.088,0.264,-1.3530000000000002,-0.488,2.391,-2.34,-0.163,-3.7030000000000003,-0.45799999999999996,2.909,-2.38,-5.229,-1.3330000000000002,1.4240000000000002,3.9160000000000004,-5.005,-4.0889999999999995,-4.74,-0.743,7.385,0.02,-2.116,1.2209999999999999,-0.132,0.183,1.18,-2.055,-1.078,0.214,2.289,0.031,-1.038,1.943,1.455,1.882,-0.753,1.4340000000000002,1.709,1.17,-0.478,-2.218,-3.265,-0.397,-1.8619999999999999,0.102,3.733,3.52
29,0.8440000000000001,1.099,3.815,0.376,-0.040999999999999995,1.2209999999999999,0.0,1.0070000000000001,-0.865,-0.895,-3.215,0.732,-0.59,0.397,2.146,-9.949,-0.295,0.6,0.753,-1.841,0.0,1.902,-1.3630000000000002,0.326,-3.215,1.495,3.398,-1.4040000000000001,-4.252,0.621,2.889,4.893,0.366,-3.6010000000000004,-4.74,-0.743,8.85,1.485,-0.6509999999999999,1.2209999999999999,0.35600000000000004,0.6709999999999999,2.157,-2.055,-0.59,2.167,2.7769999999999997,1.0070000000000001,0.42700000000000005,1.455,1.943,3.347,-0.264,0.946,2.197,2.635,-0.478,-1.2409999999999999,-1.3119999999999998,0.092,-1.3730000000000002,0.59,4.71,4.496
30,1.3330000000000002,2.075,6.744,0.376,0.9359999999999999,1.709,0.977,1.0070000000000001,-0.376,-1.8719999999999999,-2.238,0.244,-0.102,1.3730000000000002,1.6580000000000001,-9.46,0.193,0.11199999999999999,0.753,-1.841,0.488,1.4140000000000001,-0.875,0.326,-2.7260000000000004,3.448,3.886,-0.42700000000000005,-3.2760000000000002,1.597,4.354,5.87,4.272,-2.625,-4.74,-1.2309999999999999,8.85,2.4619999999999997,0.326,-0.244,0.8440000000000001,0.6709999999999999,2.645,-2.055,0.387,3.6319999999999997,2.7769999999999997,1.984,0.9159999999999999,1.455,2.431,4.323,0.22399999999999998,0.45799999999999996,3.174,3.611,0.01,-0.264,0.153,0.58,-0.885,0.59,4.71,4.008
31,1.3330000000000002,3.54,8.209,0.865,1.4240000000000002,2.197,1.465,0.519,-0.376,-2.8480000000000003,-2.238,-0.244,0.387,1.8619999999999999,-0.295,-8.972000000000001,0.193,-0.376,0.264,-1.3530000000000002,0.488,1.4140000000000001,-0.387,0.326,-2.7260000000000004,4.425,3.886,-0.42700000000000005,-3.2760000000000002,1.597,5.33,6.358,5.737,-1.16,-4.252,-1.719,7.385,2.4619999999999997,0.8140000000000001,-0.732,0.8440000000000001,0.183,1.6680000000000001,-2.055,0.875,4.6080000000000005,1.801,1.984,1.4040000000000001,0.966,2.431,5.3,0.22399999999999998,-0.031,4.15,3.611,0.01,0.22399999999999998,0.6409999999999999,0.58,-0.885,0.59,4.2219999999999995,4.008
32,1.3330000000000002,4.0280000000000005,7.721,1.841,1.912,2.6860000000000004,1.465,1.0070000000000001,0.11199999999999999,-3.3369999999999997,-3.215,-0.732,0.875,2.35,-1.76,-8.972000000000001,0.193,-0.865,-0.22399999999999998,-0.865,0.488,1.4140000000000001,0.102,0.326,-2.7260000000000004,4.425,3.886,-0.42700000000000005,-3.2760000000000002,1.597,5.33,6.846,3.784,0.7929999999999999,-3.2760000000000002,-0.743,5.432,2.4619999999999997,1.3019999999999998,-1.2209999999999999,0.8440000000000001,0.183,0.6920000000000001,-2.055,1.3630000000000002,4.6080000000000005,1.801,2.472,0.9159999999999999,0.478,2.92,5.787999999999999,0.7120000000000001,-0.031,5.127000000000001,4.588,0.498,0.22399999999999998,0.153,0.58,-0.397,0.59,4.2219999999999995,4.008
33,0.8440000000000001,4.0280000000000005,5.28,3.7939999999999996,1.4240000000000002,3.174,1.465,1.495,0.6,-2.36,-3.215,-0.244,0.875,2.838,-2.248,-9.949,0.193,-1.3530000000000002,0.264,-1.3530000000000002,0.488,0.9259999999999999,0.102,0.326,-2.238,3.448,3.886,-0.42700000000000005,-3.2760000000000002,1.109,5.819,7.8229999999999995,0.366,2.747,-2.787,0.23399999999999999,4.456,2.4619999999999997,2.279,-0.732,0.8440000000000001,0.183,0.6920000000000001,-1.567,1.3630000000000002,4.12,1.801,2.96,0.9159999999999999,-0.01,3.408,5.3,1.2,-0.519,5.615,4.588,0.498,-0.264,-0.8240000000000001,0.092,-0.885,0.102,4.2219999999999995,4.008
34,0.8440000000000001,4.0280000000000005,2.838,3.7939999999999996,1.4240000000000002,3.662,1.465,1.984,0.6,-1.8719999999999999,-3.215,-0.244,0.875,3.326,-1.76,-10.925,0.193,-1.841,0.264,-2.818,0.488,0.9259999999999999,0.59,-0.6509999999999999,-2.7260000000000004,2.472,3.886,-0.9159999999999999,-3.764,1.109,6.307,8.799,-2.563,3.235,-2.299,0.722,4.944,2.4619999999999997,2.279,-0.732,0.8440000000000001,-0.305,0.6920000000000001,-2.055,1.3630000000000002,2.655,1.801,3.448,1.4040000000000001,-0.498,3.8960000000000004,3.835,1.2,-0.519,6.5920000000000005,4.588,0.498,-0.753,-1.3119999999999998,-0.397,-0.885,0.102,4.71,4.496
